sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Residential, LUM_Industrial, LUM_Commercial, LUM_Parkland, LUM_Education, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"20607114015","2114015","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",144.3112820568098,228672.35000385603,33,205384.8006279791,0.0,0.0,23122.345200846903,165.20417515723966,0.207151737214473,71.38484686901243,-0.21273536995573794,-0.11499859519616723,-0.65152635961074,-0.9792603247626452
"20607114016","2114016","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",115.09589070079099,243275.4100039088,28,201575.86606555185,0.0,41699.54393835691,0.0,0.0,0.28464161900991575,64.39641234252032,-0.7014992389125378,-0.21861124883909688,-0.282963923089653,-1.2030744108412876
"20607114017","2114017","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",114.2027854914307,227665.20000469632,26,224830.7804248373,0.0,0.0,2834.41957981867,0.0,0.0416158165852846,70.66054904082053,-0.7164405947271153,-0.12573725486626708,-1.4388591161622284,-2.281036965755611
"20607114018","2114018","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",143.01946745897175,286674.2600042316,41,236209.6571250797,0.0,1218.2648212187514,16820.06929039769,20007.77598057827,0.31990871390803766,71.26202265542548,-0.2343470024380844,-0.11681962430549166,-0.1152242631043072,-0.46639088984788324
"20607114019","2114019","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",134.60445623725883,245162.7600042674,33,205426.44313197813,0.0,0.0,22307.656396009763,16640.89063260099,0.34013229963426994,87.7926711622967,-0.3751273668671908,0.12826879309937195,-0.01903552390698397,-0.2658940976748028
"20607114020","2114020","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",130.7243957561071,244789.81000380754,32,210990.12269577358,0.0,0.0,23390.848061684657,10408.839246465592,0.30241128252109717,133.771401084001,-0.4400394999768987,0.8099634130117177,-0.19844668899282616,0.17147722404199287
"20607114021","2114021","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",128.7368576385058,194194.58000287856,25,162337.8192678666,0.0,0.0,24023.07269563704,7833.688039377332,0.33416686141664736,154.7083274581809,-0.47329035765735883,1.1203806448727032,-0.04740873074974226,0.5996815564656021
"20607114022","2114022","21140","Carlton North - Princes Hill","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",144.9103989995022,207024.48000369564,30,183729.81512060185,0.0,0.0,23294.66488298961,0.0,0.21855734889738382,71.93067928636883,-0.20271234095367796,-0.10690591793171852,-0.5972782444443776,-0.9068965033297741
"20607114101","2114101","21141","Collingwood","20607","Yarra","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",164.35088115579507,285973.52000471926,47,145490.7156421981,0.0,104460.62799182396,0.0,1689.526720715745,0.44446298967638986,66.02817969794336,0.12252051857937822,-0.19441817023438782,0.47718891772213523,0.4052912660671256
"20601110512","2110512","21105","Brunswick","20601","Brunswick - Coburg","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",120.28936327888361,207832.17500319635,25,191336.4731849142,1622.562774172562,0.0,5992.901412941515,8880.237631285097,0.21808277679384086,47.32862613591565,-0.6146141542783163,-0.47166343298314445,-0.599535435276704,-1.6858130225381647
